em,email marketing
ezine,electronic magazine
fb,facebook
li,linkedin
seo,search engine optimization
sm,social media
smm,social media marketing
smo,social media optimization
sn,social network
sroi,social return on investment
ugc,user generated content
yt,youtube
ab,about
abt,about
afaik,as far as i know
ayfkmwts,are you fucking kidding me with this shit
b4,before
bfn,bye for now
bgd,background
bh,blockhead
br,best regards
btw,by the way
cd9,code 9, parents are around
chk,check
cul8r,see you later
dam,don't annoy me
dd,dear daughter
df,dear fiance
dp,profile pic
ds,dear son
dyk,did you know, do you know
em,email
eml,email
ema,email address
f2f,face to face
ftf,face to face
fb,facebook, fuck buddy
ff,follow friday
ffs,for fuck's sake
fml,fuck my life
fotd,find of the day
ftw,for the win, fuck the world
fubar,fucked up beyond all repair
fwiw,for what it's worth
gmafb,give me a fucking break
gtfooh,get the fuck out of here
gts,guess the song
hagn,have a good night
hand,have a nice day
hotd,headline of the day
ht,heard through
hth,hope that helps
ic,i see
icymi,in case you missed it
idk,i don't know
iirc,if i remember correctly
imho,in my humble opinion
irl,in real life
iwsn,i want sex now
jk,just kidding, joke
jsyk,just so you know
jv,joint venture
kk,kewl kewl, or ok, got it
kyso,knock your socks off
lhh,laugh hella hard
lmao,laughing my ass off
lmk,let me know
lo,little one
lol,laugh out loud
mm,music monday
mirl,meet in real life
mrjn,marijuana
nbd,no big deal
nct,nobody cares, though
nfw,no fucking way
njoy,enjoy
nsfw,not safe for work
nts,note to self
oh,overheard
omfg,oh my fucking god
oomf,one of my friends
orly,oh, really
plmk,please let me know
pnp,party and play
qotd,quote of the day
re,in reply to, in regards to
rlrt,real-life re-tweet
rtfm,read the fucking manual
rtq,read the question
sfw,safe for work
smdh,shaking my damn head
smh,shaking my head
snafu,situation normal, all fucked up
so,significant other
sob,son of a bitch
srs,serious
stfu,shut the fuck up
stfw,search the fucking web
tftf,thanks for the follow
tftt,thanks for this tweet
tj,tweetjack
tl,timeline
tldr,too long, didn't read
"tl;dr,too long, didn't read"
tmb,tweet me back
tt,trending topic
ty,thank you
tyia,thank you in advance
tyt,take your time
tyvw,thank you very much
w,with
w/,with
w/e,weekend
we,weekend
wtv,whatever
ygtr,you got that right
ykwim,you know what i mean
ykyat,you know you're addicted to
ymmv,your mileage may vary
yolo,you only live once
yoyo,you're on your own
yw,you're welcome
zomg,omg to the max
